
ID,Name,Gender,Age,City,Salary,Joining_Date,Height,Fraud,Total_Sales_2025
101,Alice,M,25,NewYork,"$50,000",2021-12-01,65,0,100000
102,BOB,Male,-3,new york,60000,01/06/2020,170,1,200000
103,Charlie,FEMALE,45,NY,"$70,000",2020-07-15,180,0,150000
104,DAVE,F,39,Los Angeles,80000,15-08-2019,68,1,180000
105,Eve,Female,102,LA,"$90,000","March 3, 2018",72,0,
106,Frank,male,30,San Francisco,10000,2017-01-25,155,0,160000
107,grace,M,29,SF,"$120,000",2022-02-20,69,1,90000
108,Henry,F,27,SAN FRANCISCO,5,2023-03-10,,,110000
109,Isabel,F,,Boston,55000,2019-05-21,175,,95000
110,JASON,Male,37,BOSTON,"$45,000",07/10/2018,69,0,210000
111,kate,female,-5,Chicago,"$76,000",2017-09-30,162,0,140000
112,Leo,FEMALE,99,chiCAGO,85000,20-11-2016,71,1,190000
113,Mia,M,,Houston,"$95,000",2015-12-11,73,0,130000
114,Nathan,male,34,HOU,0,2014-03-22,157,0,170000
115,Olivia,F,29,Houston,"$130,000",2013-07-14,170,1,85000
116,PAUL,M,31,Hou,40000,2012-06-05,68,0,115000
101,Alice,M,25,NewYork,"$50,000",2021-12-01,65,0,100000
